Episode,Total Reward,Epsilon,Avg Reward (Last 100),Total Frames,Frame Rate,Model Updates,Running Reward,Training Time
32,0.0,1.0,0.1818181818181818,974.0,1590.981423468585,974,0.1818181818181818,0.6122007369995117
33,0.0,1.0,0.1764705882352941,995.0,1931.380361837705,995,0.1764705882352941,0.5151755809783936
34,1.0,1.0,0.2,1046.0,799.6687734811142,1046,0.2,1.3080415725708008
35,0.0,1.0,0.1944444444444444,1069.0,1767.7048893753065,1069,0.1944444444444444,0.6047389507293701
36,0.0,1.0,0.1891891891891892,1090.0,2194.88056750718,1090,0.1891891891891892,0.496610164642334
37,0.0,1.0,0.1842105263157894,1113.0,1883.455145362513,1113,0.1842105263157894,0.590935230255127
38,0.0,1.0,0.1794871794871795,1134.0,2254.224109559955,1134,0.1794871794871795,0.5030555725097656
39,0.0,1.0,0.175,1157.0,1949.029936233337,1157,0.175,0.5936286449432373
40,0.0,1.0,0.1707317073170731,1180.0,1751.0942289675318,1180,0.1707317073170731,0.6738643646240234
41,2.0,1.0,0.2142857142857142,1278.0,459.5099903585824,1278,0.2142857142857142,2.78122353553772
42,0.0,1.0,0.2093023255813953,1299.0,2346.9666335697502,1299,0.2093023255813953,0.5534803867340088
43,0.0,1.0,0.2045454545454545,1320.0,1983.9738092354264,1320,0.2045454545454545,0.6653313636779785
44,1.0,1.0,0.2222222222222222,1391.0,769.6938223062622,1391,0.2222222222222222,1.8072121143341064
45,0.0,1.0,0.217391304347826,1414.0,2131.6948026974587,1414,0.217391304347826,0.6633219718933105
46,0.0,1.0,0.2127659574468085,1437.0,2193.909197164145,1437,0.2127659574468085,0.6549952030181885
47,0.0,1.0,0.2083333333333333,1458.0,2582.781317192891,1458,0.2083333333333333,0.5645077228546143
48,0.0,1.0,0.2040816326530612,1481.0,2191.891747771857,1481,0.2040816326530612,0.6756720542907715
49,0.0,1.0,0.2,1504.0,2312.525121753172,1504,0.2,0.6503713130950928
50,0.0,1.0,0.196078431372549,1527.0,2611.9765029452883,1527,0.196078431372549,0.5846147537231445
51,0.0,1.0,0.1923076923076923,1550.0,2440.4794340308968,1550,0.1923076923076923,0.6351211071014404
52,0.0,1.0,0.1886792452830188,1571.0,2952.4038092575315,1571,0.1886792452830188,0.5321087837219238
53,0.0,1.0,0.1851851851851851,1592.0,2260.916486703005,1592,0.1851851851851851,0.704139232635498
54,0.0,1.0,0.1818181818181818,1614.0,2907.826698922366,1614,0.1818181818181818,0.5550537109375
55,0.0,1.0,0.1785714285714285,1637.0,2476.111216775631,1637,0.1785714285714285,0.6611173152923584
56,0.0,1.0,0.175438596491228,1660.0,2581.8193765182577,1660,0.175438596491228,0.6429574489593506
57,0.0,1.0,0.1724137931034483,1683.0,3100.742363464813,1683,0.1724137931034483,0.5427732467651367
58,0.0,1.0,0.1694915254237288,1706.0,2649.4594704474675,1706,0.1694915254237288,0.6439049243927002
59,0.0,1.0,0.1666666666666666,1729.0,2604.336333679048,1729,0.1666666666666666,0.6638927459716797
60,0.0,1.0,0.1639344262295081,1752.0,2620.5724588891803,1752,0.1639344262295081,0.6685562133789062
61,1.0,1.0,0.1774193548387097,1803.0,1351.4849712388602,1803,0.1774193548387097,1.3340880870819092
62,0.0,1.0,0.1746031746031746,1826.0,2673.9292233321894,1826,0.1746031746031746,0.6828901767730713
